Material,Categoría,Producto,Tipo de contenido,Link al material
Dormidina Doxilamina,Sueño,Dormidina® Doxilamina,Promocional,"Dormidina_Doxilamina.pdf"
Dorminatur Melatonina,Sueño,"Dorminatur® Melatonina Comprimidos
Dorminatur® Melatonina Gummies",Promocional,"Dorminatur_melatonina.pdf"
Dorminatur Gummies,Sueño,Dorminatur® Melatonina Gummies,Promocional,"Dorminatur_Gummies.pdf"
Dorminatur Tripleacción,Sueño,Dorminatur® Triple Acción,Promocional,"Dorminatur_Tripleaccion.pdf"
Dorminatur Valeriana,Sueño,Dorminatur® Valeriana,Promocional,"Dorminatur_Valeriana.pdf"
Dorminatur Tripleacción-Melatonina-Valeriana,Sueño,"Dorminatur® Melatonina Comprimidos
Dorminatur® Melatonina Gummies
Dorminatur® Valeriana
Dorminatur® Triple Acción",Promocional,"Dorminatur_Tripleaccion_Melatonina_Valeriana.pdf"
Packaging Dormidina® Doxilamina 25mg,Sueño,Dormidina® Doxilamina 25mg,Promocional,"Dormidina_Doxilamina_25mg.png"
"Packaging Dormidina® Doxilamina 12,5mg",Sueño,"Dormidina® Doxilamina 12,5mg",Promocional,"Dormidina_Doxilamina_12,5mg.png"
Packaging Dorminatur® Melatonina Comprimidos,Sueño,Dorminatur® Melatonina Comprimidos,Promocional,"DorniNatur_Melatonina_Comprimidos.png"
Packaging Dorminatur® Melatonina Gummies,Sueño,Dorminatur® Melatonina Gummies,Promocional,"DormiNatur_Melatonina_Gummies.png"
Packaging Dorminatur® Valeriana,Sueño,Dorminatur® Valeriana,Promocional,"DormiNatur_Valeriana.png"
Packaging Dorminatur® Triple Acción,Sueño,Dorminatur® Triple Acción,Promocional,"DormiNatur_Triple_Accion.png"
Díptico Triptomax Balance,Bienestar Emocional,"Triptomax
Triptomax Balance",De consulta,"Diptico_TRIPTOMAX_BALANCE.pdf"
Gráficas Triptomax y Triptomax Balance,Bienestar Emocional,"Triptomax
Triptomax Balance",Promocional,"Graficas_Triptomax_y_Triptomax_Balance_A3.pdf"
Folleto Triptomax y Triptomax Balance,Bienestar Emocional,"Triptomax
Triptomax Balance",De consulta,"Folleto_Triptomax_y_Triptomax_Balance.pdf"
Packaging Triptomax,Bienestar Emocional,Triptomax,Promocional,"Triptomax.png"
Packaging Triptomax Balance,Bienestar Emocional,Triptomax Balance,Promocional,"Triptomax_Balance.jpeg"
